train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,35,180,1.5785,-0.0764,0.6166
2016-01-05,2020-01-05,2020-01-06,2021-01-04,50,150,2.4714,0.1789,0.7453
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,110,2.0619,-0.1606,-0.2236
2018-01-05,2022-01-05,2022-01-05,2023-01-04,20,100,0.4009,-0.379,-0.2641
2019-01-05,2023-01-05,2023-01-05,2024-01-04,10,170,0.7032,-0.134,0.0793
2020-01-05,2024-01-05,2024-01-05,2025-01-03,25,130,0.2744,0.0506,0.4113
2021-01-05,2025-01-05,2025-01-06,2025-12-31,15,200,0.3368,0.0296,0.1038
2022-01-05,2026-01-05,2026-01-05,2026-04-24,20,200,0.3634,-0.0502,0.0193
