train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,35,200,-0.1223,-0.2458,0.6021
2016-01-05,2020-01-05,2020-01-06,2021-01-04,50,200,-0.1176,1.1141,1.1306
2017-01-05,2021-01-05,2021-01-05,2022-01-04,50,190,1.1103,0.0497,-0.0095
2018-01-05,2022-01-05,2022-01-05,2023-01-04,50,190,1.3458,-0.3505,0.0695
2019-01-05,2023-01-05,2023-01-05,2024-01-04,40,200,0.518,0.1822,0.2405
2020-01-05,2024-01-05,2024-01-05,2025-01-03,20,200,0.577,-0.0335,0.2677
2021-01-05,2025-01-05,2025-01-06,2025-12-31,40,200,-0.0363,0.8239,1.2633
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,200,1.2902,-0.0047,-0.0047
