train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,20,130,0.0402,0.1034,0.1994
2016-01-05,2020-01-05,2020-01-06,2021-01-04,50,200,0.213,0.0675,0.1403
2017-01-05,2021-01-05,2021-01-05,2022-01-04,50,200,0.2894,0.0309,-0.0723
2018-01-05,2022-01-05,2022-01-05,2023-01-04,50,200,0.3293,-0.058,0.1055
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,110,0.2493,0.0701,0.1622
2020-01-05,2024-01-05,2024-01-05,2025-01-03,25,150,0.1623,0.2963,0.2963
2021-01-05,2025-01-05,2025-01-06,2025-12-31,45,150,0.4573,0.5427,0.5427
2022-01-05,2026-01-05,2026-01-05,2026-04-24,30,160,1.415,0.0564,0.0564
