train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,25,100,0.1935,-0.0079,0.2889
2016-01-05,2020-01-05,2020-01-06,2021-01-04,15,100,0.0411,0.081,0.2296
2017-01-05,2021-01-05,2021-01-05,2022-01-04,20,150,0.182,0.1136,0.1539
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,140,0.437,-0.2263,-0.1731
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,190,0.3834,-0.0528,-0.0872
2020-01-05,2024-01-05,2024-01-05,2025-01-03,45,200,0.2262,-0.0702,0.0297
2021-01-05,2025-01-05,2025-01-06,2025-12-31,45,200,-0.0211,0.3848,0.3848
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,200,0.2473,0.1022,0.1022
