train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,25,110,-0.008,0.2107,0.3765
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,170,0.4878,0.0457,0.0203
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,180,0.405,0.0123,0.0137
2018-01-05,2022-01-05,2022-01-05,2023-01-04,50,120,0.6187,-0.0558,-0.0059
2019-01-05,2023-01-05,2023-01-05,2024-01-04,25,130,0.6489,-0.1847,-0.1302
2020-01-05,2024-01-05,2024-01-05,2025-01-03,30,120,0.3179,0.1983,0.3771
2021-01-05,2025-01-05,2025-01-06,2025-12-31,20,140,0.1627,0.139,0.165
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,200,0.3535,0.0,-0.1111
