train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,25,190,0.8195,0.3539,0.5859
2016-01-05,2020-01-05,2020-01-06,2021-01-04,20,100,1.4057,0.1562,0.1297
2017-01-05,2021-01-05,2021-01-05,2022-01-04,20,100,1.4407,0.1108,0.1484
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,100,0.6193,0.0799,-0.1659
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,110,0.9578,-0.2124,-0.2406
2020-01-05,2024-01-05,2024-01-05,2025-01-03,20,110,0.2362,0.0068,0.4739
2021-01-05,2025-01-05,2025-01-06,2025-12-31,40,190,0.1187,0.1477,0.1361
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,160,0.4443,0.0,-0.0404
