train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,10,100,2.1303,0.2636,0.8891
2016-01-05,2020-01-05,2020-01-06,2021-01-04,30,200,2.3028,-0.0309,-0.0154
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,140,2.3611,-0.1085,-0.1908
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,160,0.3616,-0.1092,-0.3114
2019-01-05,2023-01-05,2023-01-05,2024-01-04,25,180,0.3335,1.9211,2.6333
2020-01-05,2024-01-05,2024-01-05,2025-01-03,15,200,1.6423,-0.0166,0.6506
2021-01-05,2025-01-05,2025-01-06,2025-12-31,30,200,2.2287,3.5182,3.984
2022-01-05,2026-01-05,2026-01-05,2026-04-24,20,100,17.658,0.2901,0.4541
