train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,20,140,0.2744,-0.0367,0.2889
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,100,0.1159,0.0084,0.2296
2017-01-05,2021-01-05,2021-01-05,2022-01-04,35,160,0.0983,0.1107,0.1539
2018-01-05,2022-01-05,2022-01-05,2023-01-04,35,160,0.2737,-0.079,-0.1731
2019-01-05,2023-01-05,2023-01-05,2024-01-04,10,190,0.3029,-0.0553,-0.0872
2020-01-05,2024-01-05,2024-01-05,2025-01-03,30,160,0.1278,-0.0745,0.0297
2021-01-05,2025-01-05,2025-01-06,2025-12-31,15,170,-0.0047,0.2651,0.3848
2022-01-05,2026-01-05,2026-01-05,2026-04-24,15,200,0.2908,0.1022,0.1022
