train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,20,190,0.7834,-0.0642,0.3468
2016-01-05,2020-01-05,2020-01-06,2021-01-04,30,110,0.5639,-0.0045,0.2639
2017-01-05,2021-01-05,2021-01-05,2022-01-04,20,120,0.5009,-0.1003,-0.0475
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,120,0.3745,-0.044,-0.1763
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,170,0.5389,-0.14,-0.1062
2020-01-05,2024-01-05,2024-01-05,2025-01-03,30,170,0.5143,-0.2698,0.1308
2021-01-05,2025-01-05,2025-01-06,2025-12-31,40,170,0.056,0.1844,0.2142
2022-01-05,2026-01-05,2026-01-05,2026-04-24,40,170,0.0376,0.0276,0.0276
