train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,15,160,0.6039,0.0225,0.3468
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,160,0.53,0.0255,0.2639
2017-01-05,2021-01-05,2021-01-05,2022-01-04,20,100,0.534,-0.1151,-0.0475
2018-01-05,2022-01-05,2022-01-05,2023-01-04,15,120,0.3138,-0.0194,-0.1763
2019-01-05,2023-01-05,2023-01-05,2024-01-04,15,190,0.2641,-0.0163,-0.1062
2020-01-05,2024-01-05,2024-01-05,2025-01-03,20,190,0.4131,-0.2771,0.1308
2021-01-05,2025-01-05,2025-01-06,2025-12-31,50,190,0.0367,0.1411,0.2142
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,190,0.0375,0.0276,0.0276
