train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,20,170,2.2735,-0.0303,0.8891
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,110,2.0249,-0.0375,-0.0154
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,110,2.2993,-0.1348,-0.1908
2018-01-05,2022-01-05,2022-01-05,2023-01-04,10,180,0.1086,-0.1466,-0.3114
2019-01-05,2023-01-05,2023-01-05,2024-01-04,15,150,0.317,1.737,2.6333
2020-01-05,2024-01-05,2024-01-05,2025-01-03,50,100,2.3486,0.1474,0.6506
2021-01-05,2025-01-05,2025-01-06,2025-12-31,40,120,2.7071,3.2025,3.984
2022-01-05,2026-01-05,2026-01-05,2026-04-24,40,120,18.6572,0.4541,0.4541
