train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,10,100,0.4745,0.2146,0.5586
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,100,1.1504,-0.0614,0.0161
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,100,1.299,0.1869,-0.3801
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,100,0.5307,-0.3181,0.0048
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,190,0.8483,0.1873,-0.1571
2020-01-05,2024-01-05,2024-01-05,2025-01-03,20,190,0.5851,0.028,0.3621
2021-01-05,2025-01-05,2025-01-06,2025-12-31,20,190,0.7431,0.3416,0.4222
2022-01-05,2026-01-05,2026-01-05,2026-04-24,40,200,0.7136,-0.1557,-0.1553
