symbol,name,n_segments,oos_strategy_return,oos_market_return,edge
510300,沪深300ETF,8,-0.3875,0.6841,-1.0716
510500,中证500ETF,8,-0.2153,1.1697,-1.385
512100,中证1000ETF,6,0.0579,0.3376,-0.2797
518880,黄金ETF,8,1.2597,2.4441,-1.1844
511010,国债ETF,8,0.209,0.2296,-0.0206
511880,银华日利,8,0.1078,0.1078,0.0
