train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,30,100,0.82,-0.0444,0.5586
2016-01-05,2020-01-05,2020-01-06,2021-01-04,20,100,1.5236,0.3535,0.0161
2017-01-05,2021-01-05,2021-01-05,2022-01-04,20,100,2.0983,0.1594,-0.3801
2018-01-05,2022-01-05,2022-01-05,2023-01-04,20,100,0.6586,-0.2946,0.0048
2019-01-05,2023-01-05,2023-01-05,2024-01-04,40,170,0.9898,-0.0059,-0.1571
2020-01-05,2024-01-05,2024-01-05,2025-01-03,40,130,0.4662,-0.0187,0.3621
2021-01-05,2025-01-05,2025-01-06,2025-12-31,35,200,1.0135,0.4222,0.4222
2022-01-05,2026-01-05,2026-01-05,2026-04-24,50,120,0.9387,-0.1279,-0.1553
