train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,15,110,0.9753,0.3442,0.5586
2016-01-05,2020-01-05,2020-01-06,2021-01-04,15,110,1.6042,0.0014,0.0161
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,100,1.7173,-0.0498,-0.3801
2018-01-05,2022-01-05,2022-01-05,2023-01-04,10,100,0.3015,0.0276,0.0048
2019-01-05,2023-01-05,2023-01-05,2024-01-04,35,160,0.4758,-0.1207,-0.1571
2020-01-05,2024-01-05,2024-01-05,2025-01-03,40,160,0.1708,0.2035,0.3621
2021-01-05,2025-01-05,2025-01-06,2025-12-31,35,180,0.3346,0.2527,0.4222
2022-01-05,2026-01-05,2026-01-05,2026-04-24,40,200,0.8089,-0.1557,-0.1553
