symbol,name,n_segments,oos_strategy_return,oos_market_return,edge
510300,沪深300ETF,8,0.1425,0.6841,-0.5416
510500,中证500ETF,8,0.2115,1.1697,-0.9582
512100,中证1000ETF,6,0.0773,0.3376,-0.2603
518880,黄金ETF,8,1.9872,2.4441,-0.4569
511010,国债ETF,8,0.0015,0.2296,-0.2281
511880,银华日利,8,0.0,0.1078,-0.1078
