train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,40,110,0.1256,-0.2492,0.2889
2016-01-05,2020-01-05,2020-01-06,2021-01-04,40,110,-0.0057,0.0361,0.2296
2017-01-05,2021-01-05,2021-01-05,2022-01-04,20,130,0.0697,0.0931,0.1539
2018-01-05,2022-01-05,2022-01-05,2023-01-04,20,130,0.2858,-0.1435,-0.1731
2019-01-05,2023-01-05,2023-01-05,2024-01-04,10,190,0.1309,0.0003,-0.0872
2020-01-05,2024-01-05,2024-01-05,2025-01-03,40,150,0.1634,-0.2515,0.0297
2021-01-05,2025-01-05,2025-01-06,2025-12-31,40,150,-0.1811,0.1923,0.3848
2022-01-05,2026-01-05,2026-01-05,2026-04-24,15,200,0.0279,0.1022,0.1022
