symbol,name,n_segments,oos_strategy_return,oos_market_return,edge
300750,宁德时代,4,-0.4913,0.9028,-1.3941
600519,贵州茅台,8,-0.8103,1.8374,-2.6477
601318,中国平安,8,0.2797,0.3606,-0.0808
300308,中际旭创,8,0.9107,44.0467,-43.1361
601899,紫金矿业,8,-0.1003,11.8096,-11.9099
600036,招商银行,8,0.0788,1.0938,-1.015
300502,新易盛,7,1.5126,27.603,-26.0904
000333,美的集团,8,-0.0818,1.7626,-1.8444
601166,兴业银行,8,-0.1285,0.7556,-0.8841
600900,长江电力,8,0.1661,1.24,-1.0738
