train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,15,160,0.285,0.1335,0.3468
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,160,0.3893,0.099,0.2639
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,160,0.4623,-0.0619,-0.0475
2018-01-05,2022-01-05,2022-01-05,2023-01-04,10,100,0.2393,-0.0545,-0.1763
2019-01-05,2023-01-05,2023-01-05,2024-01-04,15,190,0.2123,-0.0539,-0.1062
2020-01-05,2024-01-05,2024-01-05,2025-01-03,20,190,0.1864,-0.0471,0.1308
2021-01-05,2025-01-05,2025-01-06,2025-12-31,25,190,-0.0099,0.1245,0.2142
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,110,0.1314,0.02,0.0276
