train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,15,180,0.6674,-0.4825,0.8891
2016-01-05,2020-01-05,2020-01-06,2021-01-04,25,140,0.8995,0.1447,-0.0154
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,100,1.3616,-0.3466,-0.1908
2018-01-05,2022-01-05,2022-01-05,2023-01-04,10,200,-0.1119,-0.1218,-0.3114
2019-01-05,2023-01-05,2023-01-05,2024-01-04,25,170,0.1247,0.7914,2.6333
2020-01-05,2024-01-05,2024-01-05,2025-01-03,45,200,1.4915,0.06,0.6506
2021-01-05,2025-01-05,2025-01-06,2025-12-31,45,200,0.8892,1.1802,3.984
2022-01-05,2026-01-05,2026-01-05,2026-04-24,30,100,7.1508,0.148,0.4541
