train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,20,170,1.8136,0.2214,0.6166
2016-01-05,2020-01-05,2020-01-06,2021-01-04,35,160,2.6609,0.5224,0.7453
2017-01-05,2021-01-05,2021-01-05,2022-01-04,25,180,2.5439,-0.1645,-0.2236
2018-01-05,2022-01-05,2022-01-05,2023-01-04,15,140,0.8144,-0.1142,-0.2641
2019-01-05,2023-01-05,2023-01-05,2024-01-04,10,170,0.8127,-0.0927,0.0793
2020-01-05,2024-01-05,2024-01-05,2025-01-03,15,130,0.5032,0.0647,0.4113
2021-01-05,2025-01-05,2025-01-06,2025-12-31,25,180,0.1914,-0.0106,0.1038
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,200,0.3727,-0.0205,0.0193
