train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,50,140,2.7686,0.5076,0.8181
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,160,4.824,0.4108,0.8731
2017-01-05,2021-01-05,2021-01-05,2022-01-04,35,200,4.4191,-0.1101,0.0369
2018-01-05,2022-01-05,2022-01-05,2023-01-04,10,130,1.7683,-0.1951,-0.1391
2019-01-05,2023-01-05,2023-01-05,2024-01-04,10,140,1.4804,-0.2246,-0.0063
2020-01-05,2024-01-05,2024-01-05,2025-01-03,25,100,0.475,-0.1111,-0.0839
2021-01-05,2025-01-05,2025-01-06,2025-12-31,20,100,-0.2444,-0.1838,-0.0318
2022-01-05,2026-01-05,2026-01-05,2026-04-24,15,100,-0.2649,-0.0308,0.059
