symbol,name,n_segments,oos_strategy_return,oos_market_return,edge
300750,宁德时代,4,0.2685,0.9028,-0.6343
600519,贵州茅台,8,-0.1693,1.8374,-2.0067
601318,中国平安,8,0.4348,0.3606,0.0742
300308,中际旭创,8,15.2838,44.0467,-28.763
601899,紫金矿业,8,2.7585,11.8096,-9.0511
600036,招商银行,8,0.7089,1.0938,-0.385
300502,新易盛,7,11.4451,27.603,-16.1579
000333,美的集团,8,0.5321,1.7626,-1.2305
601166,兴业银行,8,0.3466,0.7556,-0.4089
600900,长江电力,8,0.6724,1.24,-0.5676
