train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,20,200,0.0314,0.231,0.3765
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,200,0.3195,-0.0315,0.0203
2017-01-05,2021-01-05,2021-01-05,2022-01-04,15,120,0.2047,0.1171,0.0137
2018-01-05,2022-01-05,2022-01-05,2023-01-04,20,130,0.3946,-0.0625,-0.0059
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,120,0.2496,-0.0853,-0.1302
2020-01-05,2024-01-05,2024-01-05,2025-01-03,25,100,0.3183,0.037,0.3771
2021-01-05,2025-01-05,2025-01-06,2025-12-31,35,180,0.0892,0.1241,0.165
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,200,0.3946,0.0,-0.1111
