symbol,name,n_segments,oos_strategy_return,oos_market_return,edge
300750,宁德时代,4,-0.1998,0.9028,-1.1025
600519,贵州茅台,8,-0.4173,1.8374,-2.2547
601318,中国平安,8,0.2756,0.3606,-0.085
300308,中际旭创,8,0.6154,44.0467,-43.4313
601899,紫金矿业,8,1.2549,11.8096,-10.5547
600036,招商银行,8,0.0597,1.0938,-1.0341
300502,新易盛,7,1.4939,27.603,-26.1092
000333,美的集团,8,-0.495,1.7626,-2.2575
601166,兴业银行,8,-0.0439,0.7556,-0.7995
600900,长江电力,8,-0.086,1.24,-1.326
