train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,25,160,2.2266,0.2805,0.8181
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,200,3.8991,0.4669,0.8731
2017-01-05,2021-01-05,2021-01-05,2022-01-04,10,160,3.3584,-0.0116,0.0369
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,110,0.967,-0.2891,-0.1391
2019-01-05,2023-01-05,2023-01-05,2024-01-04,20,110,0.7664,-0.2008,-0.0063
2020-01-05,2024-01-05,2024-01-05,2025-01-03,20,110,0.0681,-0.1038,-0.0839
2021-01-05,2025-01-05,2025-01-06,2025-12-31,25,100,-0.5112,-0.2317,-0.0318
2022-01-05,2026-01-05,2026-01-05,2026-04-24,15,100,-0.4445,-0.1976,0.059
