train_start,train_end,test_start,test_end,best_short,best_long,in_sample_return,oos_strategy_return,oos_market_return
2015-01-05,2019-01-05,2019-01-07,2020-01-03,15,150,0.2478,0.1248,0.6021
2016-01-05,2020-01-05,2020-01-06,2021-01-04,10,160,0.3664,0.5672,1.1306
2017-01-05,2021-01-05,2021-01-05,2022-01-04,40,200,1.7908,0.0628,-0.0095
2018-01-05,2022-01-05,2022-01-05,2023-01-04,25,200,1.4808,-0.0875,0.0695
2019-01-05,2023-01-05,2023-01-05,2024-01-04,50,200,1.7088,0.1528,0.2405
2020-01-05,2024-01-05,2024-01-05,2025-01-03,15,190,1.4776,-0.0446,0.2677
2021-01-05,2025-01-05,2025-01-06,2025-12-31,50,190,0.7942,1.0056,1.2633
2022-01-05,2026-01-05,2026-01-05,2026-04-24,45,190,2.2866,-0.0047,-0.0047
