symbol,name,best_short,best_long,strategy_return,market_return,edge
510300,沪深300ETF,20,170,0.743,0.5023,0.2407
510500,中证500ETF,20,150,0.6299,0.8169,-0.1871
512100,中证1000ETF,10,140,0.7444,0.244,0.5004
159531,中证2000ETF,15,160,0.6801,0.5246,0.1555
518880,黄金ETF,50,200,2.4731,3.0704,-0.5973
511010,国债ETF,20,150,0.3784,0.3985,-0.0201
511880,银华日利,10,100,0.2394,0.2416,-0.0022
