symbol,name,best_short,best_long,strategy_return,market_return,edge
510300,沪深300ETF,20,300,0.9486,0.5023,0.4463
510500,中证500ETF,20,150,0.0637,0.8169,-0.7532
512100,中证1000ETF,10,250,1.1133,0.244,0.8693
159531,中证2000ETF,15,160,0.6174,0.5246,0.0928
518880,黄金ETF,45,240,2.184,3.0704,-0.8864
511010,国债ETF,20,150,0.3854,0.3985,-0.0131
511880,银华日利,10,100,0.2394,0.2416,-0.0022
