symbol,name,best_short,best_long,strategy_return,market_return,edge
300750,宁德时代,20,280,5.274,22.9594,-17.6854
600519,贵州茅台,15,100,1.4203,8.9311,-7.5109
601318,中国平安,20,240,1.9075,1.1845,0.7229
300308,中际旭创,35,210,13.8785,196.4576,-182.5792
601899,紫金矿业,35,300,3.6126,10.7053,-7.0928
600036,招商银行,30,190,0.8124,2.6901,-1.8778
300502,新易盛,20,120,32.7089,206.5475,-173.8387
000333,美的集团,15,170,2.379,4.7592,-2.3801
601166,兴业银行,25,110,0.1929,0.8311,-0.6383
600900,长江电力,15,280,1.1601,2.5332,-1.3731
