symbol,name,best_short,best_long,strategy_return,market_return,edge
300750,宁德时代,15,200,8.6622,22.9594,-14.2972
600519,贵州茅台,15,100,5.2661,8.9311,-3.6651
601318,中国平安,25,200,2.0699,1.1845,0.8854
300308,中际旭创,30,200,62.3829,196.4576,-134.0747
601899,紫金矿业,40,200,5.5174,10.7053,-5.188
600036,招商银行,30,190,2.2685,2.6901,-0.4216
300502,新易盛,20,120,85.2589,206.5475,-121.2887
000333,美的集团,15,170,4.4381,4.7592,-0.321
601166,兴业银行,25,110,0.8682,0.8311,0.0371
600900,长江电力,20,120,1.914,2.5332,-0.6192
