date,symbol,adjust,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover,source,updated_at
2015-01-05,511880,hfq,107.651,107.661,107.617,107.64,350236,3509464176.0,0.04,-0.08,-0.091,4.23,akshare,2026-04-25 23:59:23
2015-01-06,511880,hfq,107.641,107.653,107.635,107.652,156099,1564200064.0,0.02,0.01,0.012,1.89,akshare,2026-04-25 23:59:23
2015-01-07,511880,hfq,107.649,107.663,107.64,107.657,201270,2017112064.0,0.02,0.0,0.005,2.43,akshare,2026-04-25 23:59:23
2015-01-08,511880,hfq,107.654,107.685,107.651,107.68,190614,1910533632.0,0.03,0.02,0.023,2.3,akshare,2026-04-25 23:59:23
2015-01-09,511880,hfq,107.68,107.69,107.647,107.678,172877,1732994448.0,0.04,0.0,-0.002,2.09,akshare,2026-04-25 23:59:23
2015-01-12,511880,hfq,107.656,107.683,107.637,107.678,217845,2183316224.0,0.04,0.0,0.0,2.63,akshare,2026-04-25 23:59:23
2015-01-13,511880,hfq,107.656,107.702,107.655,107.698,179229,1796822880.0,0.04,0.02,0.02,2.16,akshare,2026-04-25 23:59:23
2015-01-14,511880,hfq,107.698,107.729,107.692,107.725,124792,1251473184.0,0.03,0.03,0.027,1.51,akshare,2026-04-25 23:59:23
2015-01-15,511880,hfq,107.741,107.749,107.734,107.748,68884,690951040.0,0.01,0.02,0.023,0.83,akshare,2026-04-25 23:59:23
2015-01-16,511880,hfq,107.769,107.788,107.763,107.788,93758,940799808.0,0.02,0.04,0.04,1.13,akshare,2026-04-25 23:59:23
2015-01-19,511880,hfq,107.798,107.844,107.795,107.835,126618,1270961904.0,0.05,0.04,0.047,1.53,akshare,2026-04-25 23:59:23
2015-01-20,511880,hfq,107.835,108.436,107.832,107.955,168763,1695265952.0,0.56,0.11,0.12,2.04,akshare,2026-04-25 23:59:23
2015-01-21,511880,hfq,107.827,107.932,107.826,107.916,254530,2556802016.0,0.1,-0.04,-0.039,3.07,akshare,2026-04-25 23:59:23
2015-01-22,511880,hfq,107.872,107.91,107.832,107.865,259705,2608607392.0,0.07,-0.05,-0.051,3.14,akshare,2026-04-25 23:59:23
2015-01-23,511880,hfq,107.862,107.869,107.851,107.868,226826,2277944928.0,0.02,0.0,0.003,2.74,akshare,2026-04-25 23:59:23
2015-01-26,511880,hfq,107.874,107.878,107.871,107.875,164479,1652011472.0,0.01,0.01,0.007,1.99,akshare,2026-04-25 23:59:23
2015-01-27,511880,hfq,107.881,107.888,107.88,107.888,281644,2829070544.0,0.01,0.01,0.013,3.4,akshare,2026-04-25 23:59:23
2015-01-28,511880,hfq,107.895,107.901,107.889,107.9,193706,1945968944.0,0.01,0.01,0.012,2.34,akshare,2026-04-25 23:59:23
2015-01-29,511880,hfq,107.907,107.916,107.907,107.915,218078,2191141024.0,0.01,0.01,0.015,2.63,akshare,2026-04-25 23:59:23
