date,symbol,adjust,open,high,low,close,pre_close,change,pct_change,volume,amount,source,updated_at
2018-06-11,300750,qfq,15.48,18.57,15.48,18.57,12.9,5.67,43.95,788.29,2845.471,tushare,2026-04-26 00:32:26
2018-06-12,300750,qfq,20.43,20.43,20.43,20.43,18.57,1.8599999999999994,10.02,265.79,1058.375,tushare,2026-04-26 00:32:26
2018-06-13,300750,qfq,22.47,22.47,22.47,22.47,20.43,2.039999999999999,9.99,450.3,1972.314,tushare,2026-04-26 00:32:26
2018-06-14,300750,qfq,24.71,24.71,24.71,24.71,22.47,2.240000000000002,9.97,742.67,3578.184,tushare,2026-04-26 00:32:26
2018-06-15,300750,qfq,27.19,27.19,27.19,27.19,24.71,2.4800000000000004,10.04,2565.1,13595.03,tushare,2026-04-26 00:32:26
2018-06-19,300750,qfq,29.91,29.91,29.91,29.91,27.19,2.719999999999999,10.0,11174.28,65146.052,tushare,2026-04-26 00:32:26
2018-06-20,300750,qfq,32.9,32.9,32.9,32.9,29.91,2.9899999999999984,10.0,13103.82,84034.797,tushare,2026-04-26 00:32:26
2018-06-21,300750,qfq,36.18,36.18,36.18,36.18,32.9,3.280000000000001,9.97,12316.6,86881.296,tushare,2026-04-26 00:32:26
2018-06-22,300750,qfq,36.93,37.3,32.57,34.14,36.18,-2.039999999999999,-5.64,1281705.99,8599728.955,tushare,2026-04-26 00:32:26
2018-06-25,300750,qfq,34.98,36.73,34.48,35.49,34.14,1.3500000000000014,3.95,699819.99,4868406.844,tushare,2026-04-26 00:32:26
2018-06-26,300750,qfq,34.82,38.75,34.42,38.05,35.49,2.559999999999995,7.21,625535.47,4537098.812,tushare,2026-04-26 00:32:26
2018-06-27,300750,qfq,38.07,38.44,36.81,38.0,38.05,-0.04999999999999716,-0.13,441388.62,3241043.472,tushare,2026-04-26 00:32:26
2018-06-28,300750,qfq,37.6,38.67,34.59,34.99,38.0,-3.009999999999998,-7.92,530809.81,3770134.24,tushare,2026-04-26 00:32:26
2018-06-29,300750,qfq,35.23,38.11,34.76,36.91,34.99,1.9199999999999946,5.49,456985.75,3231958.793,tushare,2026-04-26 00:32:26
2018-07-02,300750,qfq,36.31,36.67,35.45,35.91,36.91,-1.0,-2.71,324701.82,2278646.004,tushare,2026-04-26 00:32:26
2018-07-03,300750,qfq,36.01,36.52,33.78,35.54,35.91,-0.36999999999999744,-1.03,339100.64,2337186.967,tushare,2026-04-26 00:32:26
2018-07-04,300750,qfq,34.96,34.96,33.6,33.81,35.54,-1.7299999999999969,-4.87,262821.97,1749919.477,tushare,2026-04-26 00:32:26
2018-07-05,300750,qfq,33.34,36.87,33.28,35.3,33.81,1.4899999999999949,4.41,343377.83,2343510.066,tushare,2026-04-26 00:32:26
2018-07-06,300750,qfq,35.3,38.21,35.24,36.36,35.3,1.0600000000000023,3.0,492134.27,3511358.606,tushare,2026-04-26 00:32:26
2018-07-09,300750,qfq,36.32,36.71,35.45,36.7,36.36,0.3400000000000034,0.94,310689.79,2183986.505,tushare,2026-04-26 00:32:26
2018-07-10,300750,qfq,38.47,38.93,36.76,37.14,36.7,0.4399999999999977,1.2,364844.01,2666043.239,tushare,2026-04-26 00:32:26
2018-07-11,300750,qfq,35.91,40.49,35.69,39.53,37.14,2.3900000000000006,6.44,491208.05,3695050.773,tushare,2026-04-26 00:32:26
2018-07-12,300750,qfq,39.0,43.48,38.78,43.48,39.53,3.9499999999999957,9.99,430852.12,3430182.907,tushare,2026-04-26 00:32:26
2018-07-13,300750,qfq,42.06,45.38,41.56,42.42,43.48,-1.0599999999999952,-2.44,482020.55,4049051.405,tushare,2026-04-26 00:32:26
2018-07-16,300750,qfq,42.42,43.47,41.09,43.04,42.42,0.6199999999999974,1.46,295151.96,2439742.028,tushare,2026-04-26 00:32:26
2018-07-17,300750,qfq,42.63,43.18,40.86,42.21,43.04,-0.8299999999999983,-1.93,286153.49,2336837.084,tushare,2026-04-26 00:32:26
2018-07-18,300750,qfq,42.21,43.28,41.09,42.21,42.21,0.0,0.0,271138.39,2233771.784,tushare,2026-04-26 00:32:26
2018-07-19,300750,qfq,42.06,43.68,41.38,42.52,42.21,0.3100000000000023,0.73,250744.83,2089886.953,tushare,2026-04-26 00:32:26
2018-07-20,300750,qfq,42.32,46.77,42.07,46.64,42.52,4.119999999999997,9.69,426956.35,3750334.637,tushare,2026-04-26 00:32:26
2018-07-23,300750,qfq,45.65,46.44,44.91,45.46,46.64,-1.1799999999999997,-2.53,250143.52,2223986.14,tushare,2026-04-26 00:32:26
2018-07-24,300750,qfq,45.4,47.68,44.88,47.07,45.46,1.6099999999999994,3.54,265010.25,2395962.685,tushare,2026-04-26 00:32:26
2018-07-25,300750,qfq,46.68,48.77,42.36,42.36,47.07,-4.710000000000001,-10.01,457193.48,4027958.763,tushare,2026-04-26 00:32:26
2018-07-26,300750,qfq,41.29,42.37,39.29,40.11,42.36,-2.25,-5.31,392869.99,3115796.617,tushare,2026-04-26 00:32:26
2018-07-27,300750,qfq,40.01,40.34,38.82,39.01,40.11,-1.1000000000000014,-2.74,228095.84,1748397.062,tushare,2026-04-26 00:32:26
2018-07-30,300750,qfq,39.24,39.67,38.47,39.42,39.01,0.4100000000000037,1.05,180418.46,1377263.289,tushare,2026-04-26 00:32:26
2018-07-31,300750,qfq,39.38,39.39,36.17,37.05,39.42,-2.3700000000000045,-6.01,281283.07,2055880.224,tushare,2026-04-26 00:32:26
2018-08-01,300750,qfq,36.93,37.77,36.43,36.64,37.05,-0.4099999999999966,-1.11,179336.49,1298707.855,tushare,2026-04-26 00:32:26
2018-08-02,300750,qfq,36.11,37.59,35.93,37.22,36.64,0.5799999999999983,1.58,198535.29,1429095.207,tushare,2026-04-26 00:32:26
2018-08-03,300750,qfq,36.81,37.52,35.22,35.7,37.22,-1.519999999999996,-4.08,172888.67,1223071.469,tushare,2026-04-26 00:32:26
2018-08-06,300750,qfq,35.39,36.46,34.68,35.73,35.7,0.02999999999999403,0.08,157069.45,1096989.857,tushare,2026-04-26 00:32:26
2018-08-07,300750,qfq,36.15,38.19,35.91,37.85,35.73,2.1200000000000045,5.93,199649.47,1445537.173,tushare,2026-04-26 00:32:26
2018-08-08,300750,qfq,37.7,37.74,36.48,36.69,37.85,-1.1600000000000037,-3.06,147708.17,1067594.665,tushare,2026-04-26 00:32:26
