date,symbol,adjust,open,high,low,close,pre_close,change,pct_change,volume,amount,source,updated_at
2016-03-03,300502,hfq,25.76,30.92,25.76,30.92,21.47,9.450000000000003,44.01,97.0,296.054,tushare,2026-04-26 00:35:54
2016-03-04,300502,hfq,34.01,34.01,34.01,34.01,30.92,3.0899999999999963,9.99,39.15,133.1492,tushare,2026-04-26 00:35:54
2016-03-07,300502,hfq,37.41,37.41,37.41,37.41,34.01,3.3999999999999986,10.0,18.0,67.338,tushare,2026-04-26 00:35:54
2016-03-08,300502,hfq,41.15,41.15,41.15,41.15,37.41,3.740000000000002,10.0,133.0,547.295,tushare,2026-04-26 00:35:54
2016-03-09,300502,hfq,45.27,45.27,45.27,45.27,41.15,4.1200000000000045,10.01,259.0,1172.493,tushare,2026-04-26 00:35:54
2016-03-10,300502,hfq,49.8,49.8,49.8,49.8,45.27,4.529999999999994,10.01,181.65,904.617,tushare,2026-04-26 00:35:54
2016-03-11,300502,hfq,54.78,54.78,54.78,54.78,49.8,4.980000000000004,10.0,346.35,1897.3053,tushare,2026-04-26 00:35:54
2016-03-14,300502,hfq,60.26,60.26,60.26,60.26,54.78,5.479999999999997,10.0,679.82,4096.5953,tushare,2026-04-26 00:35:54
2016-03-15,300502,hfq,66.29,66.29,66.29,66.29,60.26,6.030000000000008,10.01,1940.24,12861.851,tushare,2026-04-26 00:35:54
2016-03-16,300502,hfq,72.92,72.92,72.92,72.92,66.29,6.6299999999999955,10.0,7144.99,52101.2671,tushare,2026-04-26 00:35:54
2016-03-17,300502,hfq,73.0,80.21,70.1,80.21,72.92,7.289999999999992,10.0,136085.44,1026273.6949,tushare,2026-04-26 00:35:54
2016-03-18,300502,hfq,77.0,81.88,76.33,79.85,80.21,-0.35999999999999943,-0.45,109742.2,863982.7605,tushare,2026-04-26 00:35:54
2016-03-21,300502,hfq,80.8,85.0,79.23,80.5,79.85,0.6500000000000057,0.81,78689.09,638283.9686,tushare,2026-04-26 00:35:54
2016-03-22,300502,hfq,80.11,87.77,79.8,83.0,80.5,2.5,3.11,86803.21,723377.2826,tushare,2026-04-26 00:35:54
