date,symbol,adjust,open,high,low,close,pre_close,change,pct_change,volume,amount,source,updated_at
2015-01-05,601318,hfq,84.65,85.73,81.87,82.86,81.28,1.5799999999999983,1.94,2435717.73,18752043.27,tushare,2026-04-26 00:33:44
2015-01-06,601318,hfq,80.93,83.53,78.35,80.22,82.86,-2.6400000000000006,-3.19,2342279.69,17438633.731,tushare,2026-04-26 00:33:44
2015-01-07,601318,hfq,79.75,82.14,78.88,79.87,80.22,-0.3499999999999943,-0.44,1703868.84,12565953.439,tushare,2026-04-26 00:33:44
2015-01-08,601318,hfq,81.06,81.51,77.03,77.34,79.87,-2.530000000000001,-3.17,1788809.15,12883821.152,tushare,2026-04-26 00:33:44
2015-01-09,601318,hfq,77.47,85.06,76.94,79.25,77.34,1.9099999999999966,2.47,3118734.02,23164177.52,tushare,2026-04-26 00:33:44
2015-01-12,601318,hfq,80.49,82.95,78.66,81.78,79.25,2.530000000000001,3.19,2656271.45,19758885.619,tushare,2026-04-26 00:33:44
2015-01-13,601318,hfq,81.93,83.75,80.52,81.73,81.78,-0.04999999999999716,-0.06,1509243.55,11390279.644,tushare,2026-04-26 00:33:44
2015-01-14,601318,hfq,81.88,82.56,79.51,80.35,81.73,-1.3800000000000097,-1.69,1459105.72,10853946.881,tushare,2026-04-26 00:33:44
2015-01-15,601318,hfq,80.51,86.43,80.19,85.81,80.35,5.460000000000008,6.8,2579037.86,19788348.282,tushare,2026-04-26 00:33:44
2015-01-16,601318,hfq,86.39,88.56,84.77,85.18,85.81,-0.6299999999999955,-0.73,2317508.63,18476457.246,tushare,2026-04-26 00:33:44
2015-01-19,601318,hfq,76.67,79.91,76.66,76.66,85.18,-8.52000000000001,-10.0,2900349.45,20841210.408,tushare,2026-04-26 00:33:44
2015-01-20,601318,hfq,76.49,78.46,74.53,76.83,76.66,0.1700000000000017,0.22,2651163.92,18667133.597,tushare,2026-04-26 00:33:44
2015-01-21,601318,hfq,77.57,84.39,77.35,84.17,76.83,7.340000000000003,9.55,2925800.7,21775561.337,tushare,2026-04-26 00:33:44
2015-01-22,601318,hfq,84.09,84.54,81.07,82.11,84.17,-2.0600000000000023,-2.45,2147044.23,16325804.066,tushare,2026-04-26 00:33:44
2015-01-23,601318,hfq,82.69,86.6,82.13,83.56,82.11,1.4500000000000028,1.77,2343732.07,18082145.694,tushare,2026-04-26 00:33:44
2015-01-26,601318,hfq,83.01,83.17,81.27,82.26,83.56,-1.2999999999999972,-1.56,1388606.35,10484377.181,tushare,2026-04-26 00:33:44
2015-01-27,601318,hfq,82.82,84.27,78.15,80.47,82.26,-1.7900000000000063,-2.18,2185606.05,16231932.238,tushare,2026-04-26 00:33:44
2015-01-28,601318,hfq,79.3,80.08,78.23,78.65,80.47,-1.8199999999999932,-2.26,1280354.99,9286066.725,tushare,2026-04-26 00:33:44
2015-01-29,601318,hfq,77.26,77.97,75.95,76.76,78.65,-1.8900000000000006,-2.4,1563067.18,11034677.585,tushare,2026-04-26 00:33:44
2015-01-30,601318,hfq,76.92,78.17,74.87,75.39,76.76,-1.3700000000000045,-1.78,1393882.7,9784586.979,tushare,2026-04-26 00:33:44
2015-02-02,601318,hfq,72.13,73.71,71.75,72.05,75.39,-3.3400000000000034,-4.43,1522202.55,10171400.125,tushare,2026-04-26 00:33:44
2015-02-03,601318,hfq,73.09,76.7,71.81,75.15,72.05,3.1000000000000085,4.3,1907172.04,12937941.408,tushare,2026-04-26 00:33:44
2015-02-04,601318,hfq,75.37,76.5,73.31,73.44,75.15,-1.710000000000008,-2.28,1278806.15,8815905.149,tushare,2026-04-26 00:33:44
2015-02-05,601318,hfq,76.16,76.16,71.59,71.74,73.44,-1.7000000000000028,-2.31,1829538.06,12526323.002,tushare,2026-04-26 00:33:44
2015-02-06,601318,hfq,71.7,74.06,71.27,72.15,71.74,0.4100000000000108,0.57,1486835.94,9905947.755,tushare,2026-04-26 00:33:44
2015-02-09,601318,hfq,72.03,75.18,71.81,73.98,72.15,1.8299999999999983,2.54,1411659.97,9578811.193,tushare,2026-04-26 00:33:44
2015-02-10,601318,hfq,73.44,75.04,73.12,74.52,73.98,0.539999999999992,0.73,980622.31,6688282.656,tushare,2026-04-26 00:33:44
2015-02-11,601318,hfq,74.96,76.87,74.5,76.32,74.52,1.7999999999999972,2.42,1062045.73,7382467.324,tushare,2026-04-26 00:33:44
2015-02-12,601318,hfq,76.27,76.7,74.67,76.05,76.32,-0.269999999999996,-0.35,837021.71,5833771.397,tushare,2026-04-26 00:33:44
2015-02-13,601318,hfq,76.53,77.61,75.9,76.07,76.05,0.01999999999999602,0.03,1092273.91,7688143.84,tushare,2026-04-26 00:33:44
2015-02-16,601318,hfq,76.38,77.73,75.9,76.5,76.07,0.4300000000000068,0.57,961664.54,6771606.373,tushare,2026-04-26 00:33:44
2015-02-17,601318,hfq,76.79,77.73,76.57,76.79,76.5,0.29000000000000625,0.38,949846.48,6738798.964,tushare,2026-04-26 00:33:44
2015-02-25,601318,hfq,76.56,76.6,73.64,74.16,76.79,-2.6300000000000097,-3.42,1040462.02,7157733.72,tushare,2026-04-26 00:33:44
2015-02-26,601318,hfq,73.98,76.33,72.89,76.02,74.16,1.8599999999999994,2.51,1178635.58,8113328.103,tushare,2026-04-26 00:33:44
2015-02-27,601318,hfq,76.32,77.48,75.87,76.46,76.02,0.4399999999999977,0.58,954326.15,6730967.802,tushare,2026-04-26 00:33:44
2015-03-02,601318,hfq,77.26,77.41,75.24,76.05,76.46,-0.4099999999999966,-0.54,1338695.71,9373873.162,tushare,2026-04-26 00:33:44
2015-03-03,601318,hfq,75.39,75.4,72.84,73.03,76.05,-3.019999999999996,-3.97,1409956.51,9598020.096,tushare,2026-04-26 00:33:44
2015-03-04,601318,hfq,73.07,73.66,72.35,72.83,73.03,-0.20000000000000284,-0.27,1046017.75,7002144.9,tushare,2026-04-26 00:33:44
2015-03-05,601318,hfq,71.81,71.97,70.5,70.89,72.83,-1.9399999999999977,-2.66,1483766.07,9706138.042,tushare,2026-04-26 00:33:44
2015-03-06,601318,hfq,70.99,71.47,70.61,70.7,70.89,-0.18999999999999773,-0.27,794054.43,5187303.849,tushare,2026-04-26 00:33:44
2015-03-09,601318,hfq,70.03,72.65,68.67,72.16,70.7,1.4599999999999937,2.07,1443501.37,9339642.326,tushare,2026-04-26 00:33:44
2015-03-10,601318,hfq,71.59,71.94,70.64,71.48,72.16,-0.6799999999999926,-0.94,830357.62,5439821.531,tushare,2026-04-26 00:33:44
