date,symbol,adjust,open,high,low,close,pre_close,change,pct_change,volume,amount,source,updated_at
2015-01-05,600519,hfq,1161.42,1250.97,1155.73,1240.44,1161.42,79.01999999999998,6.8,94515.17,1875063.136,tushare,2026-04-26 00:33:11
2015-01-06,600519,hfq,1225.0,1240.68,1200.62,1211.71,1240.44,-28.730000000000018,-2.32,55020.01,1094977.375,tushare,2026-04-26 00:33:11
2015-01-07,600519,hfq,1200.74,1221.94,1163.69,1181.76,1211.71,-29.950000000000045,-2.47,54797.84,1063925.641,tushare,2026-04-26 00:33:11
2015-01-08,600519,hfq,1188.25,1191.44,1164.61,1174.53,1181.76,-7.230000000000018,-0.61,40525.3,777874.67,tushare,2026-04-26 00:33:11
2015-01-09,600519,hfq,1166.2,1199.09,1164.42,1165.65,1174.53,-8.879999999999882,-0.76,53982.2,1039955.153,tushare,2026-04-26 00:33:11
2015-01-12,600519,hfq,1163.75,1179.61,1129.82,1141.88,1165.65,-23.769999999999982,-2.04,49914.59,934643.414,tushare,2026-04-26 00:33:11
2015-01-13,600519,hfq,1145.38,1154.81,1130.67,1132.39,1141.88,-9.490000000000009,-0.83,36708.08,683429.624,tushare,2026-04-26 00:33:11
2015-01-14,600519,hfq,1133.12,1142.31,1107.89,1121.98,1132.39,-10.410000000000082,-0.92,52403.44,965036.184,tushare,2026-04-26 00:33:11
2015-01-15,600519,hfq,1126.33,1141.7,1117.69,1139.68,1121.98,17.700000000000045,1.58,48585.52,895503.097,tushare,2026-04-26 00:33:11
2015-01-16,600519,hfq,1140.47,1151.5,1139.13,1139.92,1139.68,0.2400000000000091,0.02,39978.06,746304.289,tushare,2026-04-26 00:33:11
2015-01-19,600519,hfq,1108.62,1122.1,1050.25,1074.81,1139.92,-65.11000000000013,-5.71,64679.37,1151544.267,tushare,2026-04-26 00:33:11
2015-01-20,600519,hfq,1078.12,1105.56,1059.62,1090.74,1074.81,15.930000000000064,1.48,61022.74,1086018.454,tushare,2026-04-26 00:33:11
2015-01-21,600519,hfq,1091.9,1120.26,1085.35,1116.96,1090.74,26.220000000000027,2.4,52674.74,950750.407,tushare,2026-04-26 00:33:11
2015-01-22,600519,hfq,1117.02,1129.21,1102.5,1110.03,1116.96,-6.930000000000064,-0.62,38254.81,696541.254,tushare,2026-04-26 00:33:11
2015-01-23,600519,hfq,1103.24,1122.59,1103.17,1108.75,1110.03,-1.2799999999999727,-0.12,33084.55,600627.336,tushare,2026-04-26 00:33:11
2015-01-26,600519,hfq,1112.91,1123.94,1108.93,1119.65,1108.75,10.900000000000091,0.98,35649.06,650642.102,tushare,2026-04-26 00:33:11
2015-01-27,600519,hfq,1119.77,1119.77,1090.25,1103.17,1119.65,-16.480000000000018,-1.47,41883.62,755025.862,tushare,2026-04-26 00:33:11
2015-01-28,600519,hfq,1096.38,1104.95,1085.96,1087.0,1103.17,-16.170000000000073,-1.47,30680.66,547979.157,tushare,2026-04-26 00:33:11
2015-01-29,600519,hfq,1079.22,1090.25,1071.88,1078.92,1087.0,-8.079999999999927,-0.74,32492.54,571553.419,tushare,2026-04-26 00:33:11
2015-01-30,600519,hfq,1084.06,1108.62,1081.06,1085.23,1078.92,6.309999999999945,0.58,47508.34,848744.494,tushare,2026-04-26 00:33:11
2015-02-02,600519,hfq,1075.0,1080.45,1062.69,1070.77,1085.23,-14.460000000000036,-1.33,33983.36,593379.653,tushare,2026-04-26 00:33:11
2015-02-03,600519,hfq,1087.06,1094.23,1079.22,1092.52,1070.77,21.75,2.03,27792.8,493512.567,tushare,2026-04-26 00:33:11
2015-02-04,600519,hfq,1097.29,1115.24,1084.12,1085.66,1092.52,-6.8599999999999,-0.63,35293.71,634135.328,tushare,2026-04-26 00:33:11
2015-02-05,600519,hfq,1096.19,1108.01,1065.75,1066.06,1085.66,-19.600000000000136,-1.81,41239.62,735861.121,tushare,2026-04-26 00:33:11
2015-02-06,600519,hfq,1069.67,1081.06,1063.3,1069.42,1066.06,3.3600000000001273,0.32,37102.38,648205.629,tushare,2026-04-26 00:33:11
2015-02-09,600519,hfq,1076.59,1133.74,1071.88,1128.84,1069.42,59.419999999999845,5.56,87293.58,1584342.294,tushare,2026-04-26 00:33:11
2015-02-10,600519,hfq,1131.9,1134.35,1111.38,1120.14,1128.84,-8.699999999999818,-0.77,53638.87,984795.852,tushare,2026-04-26 00:33:11
2015-02-11,600519,hfq,1117.2,1128.53,1115.24,1121.79,1120.14,1.6499999999998636,0.15,22894.79,420358.857,tushare,2026-04-26 00:33:11
2015-02-12,600519,hfq,1126.94,1130.0,1114.81,1124.37,1121.79,2.5799999999999272,0.23,25050.98,458818.631,tushare,2026-04-26 00:33:11
2015-02-13,600519,hfq,1127.67,1130.06,1111.08,1117.75,1124.37,-6.619999999999891,-0.59,40127.05,734977.407,tushare,2026-04-26 00:33:11
2015-02-16,600519,hfq,1118.06,1124.73,1109.97,1122.77,1117.75,5.019999999999982,0.45,39521.08,722512.103,tushare,2026-04-26 00:33:11
2015-02-17,600519,hfq,1124.24,1126.33,1114.2,1116.1,1122.77,-6.670000000000073,-0.59,34172.55,624854.087,tushare,2026-04-26 00:33:11
2015-02-25,600519,hfq,1120.88,1137.41,1109.3,1126.76,1116.1,10.660000000000082,0.96,59935.12,1104113.268,tushare,2026-04-26 00:33:11
2015-02-26,600519,hfq,1125.78,1153.89,1124.24,1143.17,1126.76,16.410000000000082,1.46,62297.72,1163369.598,tushare,2026-04-26 00:33:11
2015-02-27,600519,hfq,1144.76,1191.31,1144.15,1170.18,1143.17,27.00999999999999,2.36,63370.94,1217723.178,tushare,2026-04-26 00:33:11
2015-03-02,600519,hfq,1168.65,1187.03,1157.62,1168.22,1170.18,-1.9600000000000364,-0.17,31098.7,592027.084,tushare,2026-04-26 00:33:11
2015-03-03,600519,hfq,1159.46,1176.0,1134.11,1138.94,1168.22,-29.279999999999973,-2.51,42999.6,812905.777,tushare,2026-04-26 00:33:11
2015-03-04,600519,hfq,1145.31,1151.56,1130.67,1146.54,1138.94,7.599999999999909,0.67,40662.23,757815.044,tushare,2026-04-26 00:33:11
2015-03-05,600519,hfq,1133.19,1145.56,1127.31,1136.31,1146.54,-10.230000000000018,-0.89,36206.24,670609.773,tushare,2026-04-26 00:33:11
2015-03-06,600519,hfq,1135.27,1142.19,1122.53,1124.67,1136.31,-11.639999999999873,-1.02,25470.66,471454.744,tushare,2026-04-26 00:33:11
2015-03-09,600519,hfq,1138.03,1182.06,1125.78,1173.31,1124.67,48.63999999999987,4.32,43486.03,815432.195,tushare,2026-04-26 00:33:11
2015-03-10,600519,hfq,1169.51,1172.94,1147.09,1150.46,1173.31,-22.84999999999991,-1.95,29637.06,561292.473,tushare,2026-04-26 00:33:11
2015-03-11,600519,hfq,1150.46,1182.12,1150.28,1175.88,1150.46,25.420000000000073,2.21,40583.39,778418.696,tushare,2026-04-26 00:33:11
2015-03-12,600519,hfq,1182.12,1200.44,1172.33,1180.59,1175.88,4.709999999999809,0.4,38496.4,747203.168,tushare,2026-04-26 00:33:11
2015-03-13,600519,hfq,1180.29,1187.64,1155.05,1163.2,1180.59,-17.389999999999873,-1.47,25479.27,486997.365,tushare,2026-04-26 00:33:11
2015-03-16,600519,hfq,1164.12,1191.31,1145.44,1186.78,1163.2,23.579999999999927,2.03,31160.97,597313.674,tushare,2026-04-26 00:33:11
2015-03-17,600519,hfq,1194.31,1216.98,1193.7,1205.22,1186.78,18.440000000000055,1.55,45904.08,903712.736,tushare,2026-04-26 00:33:11
2015-03-18,600519,hfq,1205.4,1224.94,1197.56,1221.63,1205.22,16.410000000000082,1.36,39304.46,778884.998,tushare,2026-04-26 00:33:11
2015-03-19,600519,hfq,1216.06,1218.81,1188.62,1196.09,1221.63,-25.54000000000019,-2.09,33539.77,658535.489,tushare,2026-04-26 00:33:11
2015-03-20,600519,hfq,1189.47,1194.31,1169.14,1183.04,1196.09,-13.049999999999955,-1.09,51373.71,991294.9,tushare,2026-04-26 00:33:11
2015-03-23,600519,hfq,1192.35,1205.09,1183.35,1194.87,1183.04,11.829999999999927,1.0,40979.01,799009.923,tushare,2026-04-26 00:33:11
2015-03-24,600519,hfq,1196.21,1209.32,1176.61,1198.6,1194.87,3.730000000000018,0.31,60079.44,1172628.507,tushare,2026-04-26 00:33:11
2015-03-25,600519,hfq,1182.12,1194.99,1176.37,1180.78,1198.6,-17.819999999999936,-1.49,42240.3,815963.246,tushare,2026-04-26 00:33:11
